# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 24.1std.0 Build 1077 03/04/2025 SC Lite Edition
# File: C:\Users\Oliver\bots\digital_logic_design\ECE272\lab6\VGADriverPins.csv
# Generated on: Thu May 15 14:42:56 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Blue[1],Input,PIN_B12,7,B7_N0,PIN_D13,3.3-V LVTTL,,,,,
Blue[0],Input,PIN_A12,7,B7_N0,PIN_E12,3.3-V LVTTL,,,,,
BlueDisplay[3],Output,PIN_N2,2,B2_N0,PIN_A11,3.3-V LVTTL,,,,,
BlueDisplay[2],Output,PIN_P4,2,B2_N0,PIN_B15,3.3-V LVTTL,,,,,
BlueDisplay[1],Output,PIN_T1,2,B2_N0,PIN_H13,3.3-V LVTTL,,,,,
BlueDisplay[0],Output,PIN_P1,2,B2_N0,PIN_C14,3.3-V LVTTL,,,,,
clk,Input,PIN_P11,3,B3_N0,PIN_M8,3.3-V LVTTL,,,,,
Green[1],Input,PIN_C12,7,B7_N0,PIN_D14,3.3-V LVTTL,,,,,
Green[0],Input,PIN_D12,7,B7_N0,PIN_A15,3.3-V LVTTL,,,,,
GreenDisplay[3],Output,PIN_R1,2,B2_N0,PIN_A12,3.3-V LVTTL,,,,,
GreenDisplay[2],Output,PIN_R2,2,B2_N0,PIN_A10,3.3-V LVTTL,,,,,
GreenDisplay[1],Output,PIN_T2,2,B2_N0,PIN_C12,3.3-V LVTTL,,,,,
GreenDisplay[0],Output,PIN_W1,2,B2_N0,PIN_D12,3.3-V LVTTL,,,,,
HSync,Output,PIN_N3,2,B2_N0,PIN_M18,3.3-V LVTTL,,,,,
Red[1],Input,PIN_C11,7,B7_N0,PIN_B14,3.3-V LVTTL,,,,,
Red[0],Input,PIN_C10,7,B7_N0,PIN_E13,3.3-V LVTTL,,,,,
RedDisplay[3],Output,PIN_Y1,3,B3_N0,PIN_C13,3.3-V LVTTL,,,,,
RedDisplay[2],Output,PIN_Y2,3,B3_N0,PIN_A13,3.3-V LVTTL,,,,,
RedDisplay[1],Output,PIN_V1,2,B2_N0,PIN_A14,3.3-V LVTTL,,,,,
RedDisplay[0],Output,PIN_AA1,3,B3_N0,PIN_J12,3.3-V LVTTL,,,,,
reset,Input,PIN_B8,7,B7_N0,PIN_M9,3.3 V Schmitt Trigger,,,,,
VSync,Output,PIN_N1,2,B2_N0,PIN_L20,3.3-V LVTTL,,,,,
